SubjID x02 x03 x04 x05 x06 x07 x08 x09 x10 x11 x12 x13 x14 x15 x16 x17 x01 Patterns FreqPatterns initial_gik1 initial_gik2 final_gik1 final_gik2
101087 3 2 2 4 3 1 4 1 1 1 3 1 1 1 2 1 1 32243141113111211 1 0.5 0.5 0 1
101088 3 1 1 3 3 4 3 1 1 2 3 1 1 1 2 2 1 31133431123111221 1 0.5 0.5 0.0175 0.9825
101089 3 2 2 4 3 4 3 1 1 2 4 2 1 1 2 1 1 32243431124211211 1 0.5 0.5 0 1
101090 2 1 1 2 2 4 3 1 1 1 3 1 1 1 2 1 1 21122431113111211 2 0.5 0.5 0.5532 0.4468
101091 1 1 2 3 3 4 3 1 1 2 3 1 1 1 2 1 1 11233431123111211 1 0.5 0.5 0.1594 0.8406
101092 3 1 2 3 3 2 3 1 1 2 2 1 1 1 2 2 1 31233231122111221 2 0.5 0.5 0.0459 0.9541
101093 2 1 1 3 3 1 4 1 2 1 1 2 1 1 2 2 1 21133141211211221 1 0.5 0.5 0 1
101094 3 1 2 1 1 4 3 1 1 2 1 1 1 1 2 2 1 31211431121111221 1 0.5 0.5 0.5869 0.4131
101095 3 1 2 3 3 2 3 1 1 2 2 1 1 1 2 2 1 31233231122111221 2 0.5 0.5 0.0459 0.9541
101096 2 1 2 1 1 3 3 1 1 1 4 1 1 1 2 1 1 21211331114111211 1 0.5 0.5 0.6619 0.3381
101097 3 1 2 3 3 4 4 1 1 1 1 2 1 1 2 1 1 31233441111211211 2 0.5 0.5 0 1
101098 3 2 2 4 3 3 4 1 1 2 1 2 1 1 2 2 1 32243341121211221 1 0.5 0.5 0 1
101099 2 2 2 4 3 4 4 1 1 1 4 1 1 1 2 1 1 22243441114111211 1 0.5 0.5 0 1
101100 3 1 1 1 1 3 3 1 2 1 3 2 1 1 2 1 1 31111331213211211 1 0.5 0.5 0.5064 0.4936
101101 3 1 1 1 1 4 2 1 2 2 2 2 1 1 2 1 1 31111421222211211 1 0.5 0.5 0.5754 0.4246
101102 1 1 2 2 2 4 4 1 1 1 3 2 1 1 2 1 1 11222441113211211 1 0.5 0.5 0.3832 0.6168
101103 2 1 1 3 3 1 3 1 1 1 3 1 1 1 2 2 1 21133131113111221 1 0.5 0.5 0.1031 0.8969
101104 3 1 2 1 1 3 3 1 1 2 4 1 1 1 2 2 1 31211331124111221 1 0.5 0.5 0.6836 0.3164
101105 2 1 1 2 2 4 3 1 1 1 3 1 1 1 2 1 1 21122431113111211 2 0.5 0.5 0.5532 0.4468
101106 3 1 2 2 2 3 2 1 1 1 1 1 1 1 2 1 1 31222321111111211 1 0.5 0.5 0.7054 0.2946
101107 3 2 2 4 3 4 4 1 1 1 1 2 1 1 2 1 1 32243441111211211 1 0.5 0.5 0 1
101108 1 1 1 2 2 4 2 1 1 1 2 2 1 1 2 1 1 11122421112211211 1 0.5 0.5 0.5143 0.4857
101109 2 2 2 4 3 4 2 1 1 2 1 2 1 1 2 1 1 22243421121211211 1 0.5 0.5 0.1424 0.8576
